"types.resourceTypeGeneral: Descending","client.repository_type: Descending",Count
Dataset,"__missing__",9312642
Dataset,disciplinary,2194448
Dataset,other,411482
Dataset,institutional,303409
Dataset,governmental,275893
Dataset,multidisciplinary,247001
Dataset,"project-related",242918
Text,"__missing__",6302934
Text,other,1559799
Text,multidisciplinary,1191577
Text,institutional,464598
Text,disciplinary,155461
Text,governmental,2843
Text,"project-related",821
Image,"__missing__",1680697
Image,other,1239814
Image,institutional,248627
Image,disciplinary,56488
Image,multidisciplinary,191
Image,"project-related",1
"__missing__","__missing__",1787548
"__missing__",disciplinary,33507
"__missing__",institutional,28148
"__missing__",multidisciplinary,685
"__missing__",governmental,276
"__missing__",other,105
"__missing__","project-related",19
PhysicalObject,disciplinary,1093773
PhysicalObject,institutional,276313
PhysicalObject,"__missing__",20485
PhysicalObject,multidisciplinary,10572
PhysicalObject,other,1479
Preprint,multidisciplinary,956800
Preprint,other,3918
Preprint,"__missing__",114
Preprint,institutional,27
Preprint,governmental,5
Preprint,disciplinary,4
Other,"__missing__",797072
Other,other,31667
Other,institutional,24277
Other,disciplinary,11897
Other,multidisciplinary,7693
Other,governmental,1707
Other,"project-related",61
Collection,"__missing__",785272
Collection,disciplinary,33254
Collection,institutional,15401
Collection,other,741
Collection,multidisciplinary,602
Collection,"project-related",7
Collection,governmental,1
Software,other,276079
Software,"__missing__",36783
Software,disciplinary,4551
Software,institutional,1551
Software,multidisciplinary,124
Audiovisual,"__missing__",196064
Audiovisual,multidisciplinary,25513
Audiovisual,other,12076
Audiovisual,disciplinary,10562
Audiovisual,institutional,2765
Audiovisual,governmental,1
JournalArticle,other,206529
JournalArticle,"__missing__",19684
JournalArticle,disciplinary,14876
JournalArticle,institutional,1812
JournalArticle,multidisciplinary,222
JournalArticle,"project-related",92
JournalArticle,governmental,4
InteractiveResource,institutional,88138
InteractiveResource,"__missing__",22533
InteractiveResource,other,8317
InteractiveResource,disciplinary,184
InteractiveResource,governmental,2
InteractiveResource,"project-related",2
InteractiveResource,multidisciplinary,1
Report,"__missing__",75207
Report,other,10959
Report,institutional,1550
Report,multidisciplinary,26
Report,disciplinary,23
Report,governmental,3
Report,"project-related",3
Dissertation,"__missing__",46068
Dissertation,institutional,22519
Dissertation,multidisciplinary,4835
Dissertation,disciplinary,1
Sound,"__missing__",40568
Sound,institutional,108
Sound,multidisciplinary,5
ConferencePaper,other,27843
ConferencePaper,"__missing__",5092
ConferencePaper,institutional,396
ConferencePaper,multidisciplinary,13
ConferencePaper,disciplinary,3
ConferencePaper,"project-related",2
Book,other,7614
Book,"__missing__",7566
Book,disciplinary,2120
Book,institutional,657
Book,"project-related",4
Book,multidisciplinary,1
BookChapter,other,5368
BookChapter,disciplinary,5250
BookChapter,"__missing__",2147
BookChapter,institutional,585
Event,"__missing__",12106
Event,institutional,972
Event,disciplinary,6
Event,"project-related",1
DataPaper,"__missing__",12319
DataPaper,governmental,348
DataPaper,institutional,180
DataPaper,disciplinary,40
DataPaper,other,9
DataPaper,multidisciplinary,1
Model,"__missing__",3721
Model,institutional,2056
Model,disciplinary,1959
Model,multidisciplinary,35
Model,governmental,1
Workflow,institutional,1498
Workflow,disciplinary,1156
Workflow,"__missing__",298
Workflow,other,198
Workflow,governmental,7
Standard,other,1848
Standard,"__missing__",296
Standard,governmental,1
Standard,institutional,1
Film,"__missing__",1403
Film,institutional,33
Film,multidisciplinary,1
OutputManagementPlan,other,616
OutputManagementPlan,"__missing__",520
ConferenceProceeding,"__missing__",816
ConferenceProceeding,institutional,64
ConferenceProceeding,disciplinary,30
"__other__","__missing__",903
"__other__",institutional,205
"__other__",governmental,27
"__other__",disciplinary,25
"__other__",multidisciplinary,4
"__other__",other,1
